Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Occupants,Fatal.Serious.Injuries,Fatal.Serious.Rate,Destroyed,Aircraft.Type
20001212X16418,Accident,CHI91FA088A,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N4676R,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,7.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,7.0,7.0,1.0,1,Piper PA-28-140
20001212X16415,Accident,CHI91DCJ01,1991-02-24,"WESTERN, NE",United States,,,,,Fatal(1),Destroyed,Airplane,N738LL,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,Imc,Probable Cause,17-08-2012,1.0,1.0,1.0,1,Cessna 172N
20001212X16539,Accident,ATL91FA067,1991-03-18,"HAMILTON, NC",United States,,,,,Fatal(2),Destroyed,Airplane,N2871H,Piper,PA-28-201T,No,1.0,Reciprocating,Part 91: General Aviation,Business,2.0,0.0,0.0,0.0,Imc,Probable Cause,02-10-2009,2.0,2.0,1.0,1,Piper PA-28-201T
20001212X17360,Incident,NYC91IA137,1991-06-06,"BOSTON, MA",United States,,,BOS,LOGAN INTERNATIONAL,Incident,Minor,Airplane,N750UA,Boeing,727-214,No,3.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,156.0,Vmc,Probable Cause,05-09-2018,156.0,0.0,0.0,0,Boeing 727-214
20001212X17597,Accident,LAX91LA306,1991-07-11,"WAILUA, HI",United States,,,,,Fatal(1),Substantial,Airplane,N9022T,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,4.0,Vmc,Probable Cause,17-10-2016,5.0,1.0,0.2,0,Cessna 182
20001212X17738,Accident,ANC91LA117,1991-08-07,"SEWARD, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N8684V,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,1.0,Vmc,Probable Cause,19-03-2009,2.0,0.0,0.0,0,Bellanca 7GCBC
20001212X17742,Accident,ANC91LA121,1991-08-09,"ANCHORAGE, AK",United States,,,LHD,LAKE HOOD SEAPLANE,Non-Fatal,Substantial,Airplane,N2370H,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,19-03-2009,1.0,0.0,0.0,0,Piper PA-18
20001212X18014,Accident,ANC91LA155,1991-09-19,"EAGLE, AK",United States,,,EAA,EAGLE,Non-Fatal,Substantial,Airplane,N4894A,Piper,PA-18-150,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,,0.0,0.0,0.0,1.0,Vmc,Probable Cause,09-12-2011,1.0,0.0,0.0,0,Piper PA-18-150
20001212X18289,Accident,FTW92FA014,1991-10-27,"MARBLE FALLS, TX",United States,,,,,Fatal(2),Destroyed,Airplane,N7246H,Beech,A36,No,1.0,Reciprocating,Part 91: General Aviation,Personal,2.0,0.0,0.0,0.0,Vmc,Probable Cause,25-01-2011,2.0,2.0,1.0,1,Beech A36
20001212X18454,Accident,FTW92LA028,1991-11-29,"LAS CRUCES, NM",United States,,,LRU,LAS CRUCES,Non-Fatal,Substantial,Airplane,N1906N,Cessna,120,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,19-12-2013,1.0,0.0,0.0,0,Cessna 120
